"country_name","country_code","anio","tasa de inflacion"
"Aruba","ABW",2000,1.03610080269524
"Aruba","ABW",2010,-1.22340655068425
"Aruba","ABW",2023,6.70946117676064
NA,"AFE",2000,11.1173058824862
NA,"AFE",2010,5.88302203486953
NA,"AFE",2023,6.92132238472385
"Afganistán","AFG",2000,NA
"Afganistán","AFG",2010,3.81463031545211
"Afganistán","AFG",2023,2.92366213121669
NA,"AFW",2000,4.81543026173506
NA,"AFW",2010,5.36905277481954
NA,"AFW",2023,3.43696324528173
"Angola","AGO",2000,418.018991534099
"Angola","AGO",2010,32.2704691224412
"Angola","AGO",2023,17.6001393484509
"Albania","ALB",2000,5.91957346525058
"Albania","ALB",2010,4.12744389120799
"Albania","ALB",2023,6.0660520944985
"Andorra","AND",2000,28.7415528975991
"Andorra","AND",2010,0.374313758110119
"Andorra","AND",2023,6.29560082401824
"El mundo árabe","ARB",2000,11.4595357939894
"El mundo árabe","ARB",2010,12.0069509099953
"El mundo árabe","ARB",2023,1.34137848153398
"Emiratos Árabes Unidos","ARE",2000,11.4595357939894
"Emiratos Árabes Unidos","ARE",2010,16.5278863640702
"Emiratos Árabes Unidos","ARE",2023,-1.30420015855995
"Argentina","ARG",2000,1.03728710073175
"Argentina","ARG",2010,20.915124272047
"Argentina","ARG",2023,135.368876310592
"Armenia","ARM",2000,-1.37367599828147
"Armenia","ARM",2010,7.76871548067652
"Armenia","ARM",2023,2.67300354889213
"Samoa Americana","ASM",2000,NA
"Samoa Americana","ASM",2010,-15.3648895532304
"Samoa Americana","ASM",2023,NA
"Antigua y Barbuda","ATG",2000,1.53551541337367
"Antigua y Barbuda","ATG",2010,1.60741690564493
"Antigua y Barbuda","ATG",2023,4.91194084907252
"Australia","AUS",2000,2.5507652827131
"Australia","AUS",2010,1.15377249328591
"Australia","AUS",2023,6.51199894950456
"Austria","AUT",2000,1.36731376651514
"Austria","AUT",2010,0.891338694909649
"Austria","AUT",2023,6.64765359130317
"Azerbaiyán","AZE",2000,12.4927738128452
"Azerbaiyán","AZE",2010,13.8276655951811
"Azerbaiyán","AZE",2023,-9.32261489254115
"Burundi","BDI",2000,38.9448932030909
"Burundi","BDI",2010,8.56155516425477
"Burundi","BDI",2023,10.8749340609701
"Bélgica","BEL",2000,2.01459208675317
"Bélgica","BEL",2010,1.70310444520605
"Bélgica","BEL",2023,4.5081215034371
"Benin","BEN",2000,4.3410556635676
"Benin","BEN",2010,0.880885670477909
"Benin","BEN",2023,3.38561739537163
"Burkina Faso","BFA",2000,-0.819773185220825
"Burkina Faso","BFA",2010,3.77961872815705
"Burkina Faso","BFA",2023,1.99804752407688
"Bangladesh","BGD",2000,3.44665934914798
"Bangladesh","BGD",2010,7.14466302810841
"Bangladesh","BGD",2023,6.89712404003441
"Bulgaria","BGR",2000,7.38083885101
"Bulgaria","BGR",2010,0.764129878916592
"Bulgaria","BGR",2023,7.98419924336682
"Bahrein","BHR",2000,14.3225240993621
"Bahrein","BHR",2010,12.0069509099953
"Bahrein","BHR",2023,-4.28437217979031
"Bahamas","BHS",2000,0.92270742527738
"Bahamas","BHS",2010,-0.392565565624793
"Bahamas","BHS",2023,6.63956583586531
"Bosnia y Herzegovina","BIH",2000,30.3325930267657
"Bosnia y Herzegovina","BIH",2010,1.40629396620604
"Bosnia y Herzegovina","BIH",2023,7.29122677163825
"Belarús","BLR",2000,185.290761160986
"Belarús","BLR",2010,11.3403098820794
"Belarús","BLR",2023,8.04676215128896
"Belice","BLZ",2000,1.44428759552335
"Belice","BLZ",2010,2.2485368571529
"Belice","BLZ",2023,6.50970161380764
"Bermudas","BMU",2000,-4.23635614734731
"Bermudas","BMU",2010,2.23622200255707
"Bermudas","BMU",2023,3.84503523133317
"Bolivia","BOL",2000,5.19540520801752
"Bolivia","BOL",2010,8.77750811554523
"Bolivia","BOL",2023,-0.505250417036535
"Brasil","BRA",2000,5.60606514085735
"Brasil","BRA",2010,8.42333833760436
"Brasil","BRA",2023,5.15950107377019
"Barbados","BRB",2000,-1.32283915557818
"Barbados","BRB",2010,18.8527289921361
"Barbados","BRB",2023,3.18212980720116
"Brunei Darussalam","BRN",2000,2.37672035245946
"Brunei Darussalam","BRN",2010,4.98008956509719
"Brunei Darussalam","BRN",2023,-12.8472514374463
"Bhután","BTN",2000,16.5271465816956
"Bhután","BTN",2010,8.32696241504689
"Bhután","BTN",2023,4.37406197211145
"Botswana","BWA",2000,14.1709669143697
"Botswana","BWA",2010,7.68549223641305
"Botswana","BWA",2023,1.73900386471155
"República Centroafricana","CAF",2000,8.5066010783456
"República Centroafricana","CAF",2010,4.21130931097511
